Name,ColorGroup,Hex,R,G,B
warm corn,red,#E3B944,227,185,68
bold garlic,green,#A1D71D,161,215,29
cool wood,red,#BC6051,188,96,81
dense slate,red,#E73ADC,231,58,220
vivid garlic,blue,#5F9FE9,95,159,233
raw coal,red,#FD62D7,253,98,215
faded deer,blue,#3926D0,57,38,208
matte broccoli,blue,#AE1AD4,174,26,212
muted shadow,green,#11F55C,17,245,92
glowing fog,green,#73B589,115,181,137
earthy sea,red,#C34443,195,68,67
soft grass,red,#CF0631,207,6,49
deep clover,green,#3AF8EC,58,248,236
foggy mud,green,#16B150,22,177,80
fresh cauliflower,blue,#195487,25,84,135
foggy cello,red,#B42C26,180,44,38
matte lettuce,blue,#2F758B,47,117,139
soft gorilla,green,#6DA30A,109,163,10
smooth parsley,blue,#697FBD,105,127,189
soft blood,red,#F88A6D,248,138,109
shiny mustard,blue,#E93DF0,233,61,240
earthy sky,blue,#10C2D7,16,194,215
dusty soil,blue,#15DFFF,21,223,255
frosted flour,blue,#C782FB,199,130,251
dusty coffee,blue,#0295DB,2,149,219
dark deer,red,#B3449C,179,68,156
frosted vinyl,green,#02ED6F,2,237,111
faded fog,red,#9A8477,154,132,119
muted pig,red,#AD1583,173,21,131
deep dolphin,blue,#0C88AC,12,136,172
dusty slate,green,#37B267,55,178,103
smooth corn,blue,#B40FDA,180,15,218
frosted grass,blue,#3794AA,55,148,170
deep gorilla,red,#BA4949,186,73,73
earthy beaver,red,#B54397,181,67,151
raw foam,green,#33FC0E,51,252,14
soft sea,red,#DBD048,219,208,72
muted foam,red,#AC2034,172,32,52
pale forest,red,#9B0286,155,2,134
soft cello,blue,#6F669D,111,102,157
dense weed,blue,#7F3DA7,127,61,167
rich flour,green,#4EFF19,78,255,25
faded crow,green,#108A0D,16,138,13
soft cockroach,blue,#BF2BE4,191,43,228
matte grass,green,#7ABCB7,122,188,183
pale mud,red,#C56DB7,197,109,183
dense gold,green,#4DD8B1,77,216,177
foggy gorilla,green,#58C720,88,199,32
soft weed,blue,#126FAC,18,111,172
glowing cardboard,green,#98D2A8,152,210,168
earthy spinach,green,#3EDDA8,62,221,168
warm coal,blue,#901CC7,144,28,199
foggy mustard,blue,#9257C2,146,87,194
earthy cello,green,#547322,84,115,34
smooth froth,red,#F9085D,249,8,93
foggy cockroach,red,#F2AFBA,242,175,186
dusty coal,green,#7E9E20,126,158,32
bright snow,blue,#760AEB,118,10,235
muted fog,red,#E600D1,230,0,209
bold lettuce,green,#45F3A8,69,243,168
soft cauliflower,green,#97DA94,151,218,148
dark mud,red,#FB03D7,251,3,215
earthy dolphin,blue,#75D0FB,117,208,251
glowing sea,blue,#8672ED,134,114,237
bold garlic,red,#8C0060,140,0,96
pale slate,green,#66DBAA,102,219,170
dark ash,blue,#2D0C3E,45,12,62
glowing cloud,green,#99C444,153,196,68
shiny coffee,red,#931F4B,147,31,75
cool swan,blue,#C7A2DB,199,162,219
dense fog,green,#3ECD60,62,205,96
bright swan,green,#79BC81,121,188,129
smooth slate,red,#F7C6A2,247,198,162
soft sky,blue,#53586C,83,88,108
dense violin,blue,#75A2FC,117,162,252
cool dolphin,blue,#064D9A,6,77,154
ripe corn,blue,#903EE8,144,62,232
ripe wood,green,#9FB25D,159,178,93
muted gold,blue,#159DC7,21,157,199
warm soil,blue,#7EAADF,126,170,223
faded clover,blue,#9CB8C6,156,184,198
rich cloud,green,#07F50D,7,245,13
dense cauliflower,blue,#660EFF,102,14,255
smooth crow,blue,#434CEC,67,76,236
earthy grass,red,#EE135F,238,19,95
earthy gold,green,#30E14A,48,225,74
foggy carrot,green,#16C2AC,22,194,172
earthy beaver,green,#89BD64,137,189,100
smooth dolphin,blue,#8C3FD1,140,63,209
warm snow,blue,#A63FD3,166,63,211
faded elephant,blue,#0D0239,13,2,57
foggy beaver,green,#5B826C,91,130,108
glowing clover,blue,#CCA1E0,204,161,224
deep grass,blue,#3BB0D5,59,176,213
shaded spinach,blue,#6C3EB1,108,62,177
pale chalk,green,#92FFC7,146,255,199
glowing chalk,red,#9D874D,157,135,77
deep sky,red,#EA7860,234,120,96
matte crow,red,#F66E9D,246,110,157
rich sky,green,#36B891,54,184,145
frosted carrot,red,#CB9C13,203,156,19
raw lettuce,blue,#8784DF,135,132,223
earthy parsley,red,#C41AA1,196,26,161
warm forest,red,#7C6D1A,124,109,26
pale cloud,blue,#65B1DB,101,177,219
smooth grass,red,#D62EAF,214,46,175
shaded froth,green,#3F7C77,63,124,119
fresh foam,green,#2D5919,45,89,25
foggy chalk,red,#6B3143,107,49,67
muted fog,green,#18312C,24,49,44
shiny mud,blue,#89A3FC,137,163,252
smooth banana,red,#E8C210,232,194,16
misty dolphin,blue,#730AD9,115,10,217
fresh tin,red,#D5600C,213,96,12
warm violin,blue,#12139D,18,19,157
dusty sky,blue,#84A6EE,132,166,238
glowing grass,red,#F399C1,243,153,193
ripe cauliflower,blue,#41595F,65,89,95
soft mud,green,#9AE9C7,154,233,199
shiny salad,green,#59E217,89,226,23
deep coal,blue,#CAD3D6,202,211,214
earthy crow,green,#AFE3B7,175,227,183
raw dolphin,green,#CEE78E,206,231,142
smooth banana,blue,#7329AF,115,41,175
ripe weed,red,#6F220D,111,34,13
smooth gold,green,#8AD6D4,138,214,212
shaded mustard,blue,#081F64,8,31,100
glowing clover,blue,#DBCFFB,219,207,251
vivid garlic,red,#7A3479,122,52,121
earthy cauliflower,green,#9BC813,155,200,19
pale forest,blue,#214BBE,33,75,190
cool cardboard,blue,#5A3EFB,90,62,251
muted spinach,red,#CB57C6,203,87,198
smooth ash,red,#E8AB16,232,171,22
glowing gorilla,green,#03EE68,3,238,104
soft blood,blue,#0D0614,13,6,20
smooth lettuce,red,#280928,40,9,40
warm crow,green,#DCEC43,220,236,67
pale clover,red,#F33397,243,51,151
bright beaver,blue,#426AC8,66,106,200
dusty cardboard,green,#2EF6EC,46,246,236
earthy clover,red,#510008,81,0,8
shaded violin,blue,#3331BA,51,49,186
earthy ash,blue,#C3A1D8,195,161,216
deep vinyl,green,#3AF3B4,58,243,180
muted fog,red,#EC51E8,236,81,232
warm broccoli,blue,#5BA6A7,91,166,167
bold clover,blue,#A747B8,167,71,184
bright swan,green,#18C390,24,195,144
ripe crow,red,#DA811F,218,129,31
fresh grass,green,#8CF23F,140,242,63
vivid cardboard,green,#688048,104,128,72
glowing froth,green,#28A704,40,167,4
dark cotton,red,#F78C63,247,140,99
bright weed,blue,#608AE8,96,138,232
vivid ash,red,#BB3E7B,187,62,123
muted sea,red,#CF9470,207,148,112
glowing slate,green,#567E28,86,126,40
soft violin,red,#50303F,80,48,63
frosted strawberry,blue,#D224DF,210,36,223
vivid salad,red,#B30D6D,179,13,109
muted silhouette,red,#F7B204,247,178,4
bright cauliflower,blue,#2417CB,36,23,203
dense sky,red,#BA4C79,186,76,121
shaded cloud,blue,#526A92,82,106,146
muted shadow,blue,#280F41,40,15,65
glowing swan,red,#BE4D28,190,77,40
cool coffee,green,#A1D35C,161,211,92
pale deer,red,#76301E,118,48,30
vivid chalk,red,#FC78A4,252,120,164
bold gold,red,#F37FCF,243,127,207
misty sea,blue,#8082EF,128,130,239
vivid strawberry,green,#243F38,36,63,56
cool foam,red,#933086,147,48,134
rich salad,blue,#454C7E,69,76,126
raw garlic,red,#F5EA06,245,234,6
ripe clover,red,#9C3E94,156,62,148
matte banana,blue,#7E3C97,126,60,151
matte forest,green,#4AF2A9,74,242,169
deep sky,green,#3B4716,59,71,22
ripe cherry,green,#19A627,25,166,39
foggy grass,blue,#7FAFEE,127,175,238
shiny beaver,blue,#0B147E,11,20,126
earthy dolphin,blue,#2D7584,45,117,132
vivid broccoli,blue,#4675BA,70,117,186
vivid cherry,green,#288D1D,40,141,29
pale shadow,red,#E9421D,233,66,29
dusty broccoli,blue,#B303CA,179,3,202
shiny wood,green,#8BBC4A,139,188,74
frosted parsley,red,#F6D301,246,211,1
misty fog,red,#E635B4,230,53,180
shaded crow,red,#CABF7C,202,191,124
raw spinach,red,#D32A4F,211,42,79
smooth cauliflower,red,#A99C66,169,156,102
ripe weed,green,#2F9A02,47,154,2
cool cotton,blue,#ACAED3,172,174,211
foggy carrot,red,#5F1E34,95,30,52
matte swan,blue,#777AC7,119,122,199
faded snow,red,#E0E0D6,224,224,214
dense coffee,red,#FA6485,250,100,133
frosted swan,red,#AA8543,170,133,67
pale cockroach,blue,#DE3FE8,222,63,232
warm sky,red,#9D3C03,157,60,3
glowing fog,green,#08852F,8,133,47
ripe corn,blue,#5F47E2,95,71,226
frosted mud,green,#0A683D,10,104,61
soft vinyl,green,#3DD31A,61,211,26
cool fog,green,#78C778,120,199,120
soft mustard,red,#F529CD,245,41,205
rich soil,red,#C61A44,198,26,68
bright cherry,red,#A9412C,169,65,44
rich elephant,blue,#3480F6,52,128,246
smooth soil,red,#CA7A5B,202,122,91
dark dolphin,blue,#301981,48,25,129
rich cardboard,green,#187F3C,24,127,60
misty gold,green,#1CA65B,28,166,91
dark fog,red,#9C5033,156,80,51
faded grass,red,#967C8A,150,124,138
shiny blood,green,#171A14,23,26,20
dark garlic,green,#5E8011,94,128,17
dusty cloud,red,#EBB406,235,180,6
vivid cherry,green,#46E0AC,70,224,172
pale dolphin,green,#C0DB56,192,219,86
muted violin,red,#EE02C7,238,2,199
deep weed,green,#D1F9F2,209,249,242
shaded tin,red,#873901,135,57,1
smooth cotton,red,#C47A88,196,122,136
foggy gorilla,blue,#E265F3,226,101,243
vivid carrot,blue,#912FE5,145,47,229
glowing weed,green,#69932E,105,147,46
dusty wood,green,#34C247,52,194,71
shaded garlic,blue,#2D98F1,45,152,241
rich blood,red,#BE584F,190,88,79
warm banana,blue,#28586F,40,88,111
raw garlic,blue,#9AA8FF,154,168,255
shiny banana,green,#91F04E,145,240,78
raw foam,green,#D7DAB1,215,218,177
vivid cardboard,blue,#1A4450,26,68,80
frosted sky,blue,#A6C8F2,166,200,242
dark cardboard,blue,#7561A5,117,97,165
faded froth,red,#D81CA2,216,28,162
bright sky,green,#1BFD27,27,253,39
shaded cloud,red,#C42D09,196,45,9
frosted broccoli,green,#8EB53E,142,181,62
bright cherry,blue,#655CA4,101,92,164
dusty elephant,red,#C97E56,201,126,86
bold cherry,green,#0A5F0B,10,95,11
smooth cherry,red,#9F2871,159,40,113
soft flour,red,#8C281C,140,40,28
earthy cello,blue,#7A6195,122,97,149
soft coffee,blue,#520FA6,82,15,166
soft corn,green,#498E3A,73,142,58
bright shadow,green,#BBF83E,187,248,62
bright snow,red,#C96A9A,201,106,154
dense cauliflower,red,#662841,102,40,65
vivid silhouette,green,#06D913,6,217,19
rich flour,red,#FF95F1,255,149,241
smooth swan,green,#4C9D84,76,157,132
vivid salad,blue,#08D2F1,8,210,241
frosted cherry,green,#4CFDF7,76,253,247
bold sky,red,#C48054,196,128,84
dense garlic,red,#BBA128,187,161,40
shaded cloud,red,#F535E9,245,53,233
warm pig,green,#7AC039,122,192,57
earthy soil,red,#F77D66,247,125,102
shiny wood,green,#8BDE88,139,222,136
shaded cockroach,green,#22F804,34,248,4
bright elephant,blue,#1912C6,25,18,198
faded beaver,blue,#B131F1,177,49,241
dense weed,red,#B3582D,179,88,45
shiny slate,red,#E1A569,225,165,105
misty sea,blue,#C803EB,200,3,235
shaded salad,red,#C34705,195,71,5
pale garlic,green,#52CA8E,82,202,142
matte pig,blue,#AF2EC0,175,46,192
bold silhouette,red,#E5DDE0,229,221,224
bold silhouette,red,#580B19,88,11,25
soft soil,green,#61CC01,97,204,1
raw cotton,green,#A0CA35,160,202,53
dark forest,green,#95BC86,149,188,134
pale soil,green,#1BB291,27,178,145
deep sky,green,#25FC81,37,252,129
ripe chalk,red,#A51F32,165,31,50
dark snow,blue,#01487F,1,72,127
ripe deer,blue,#D039DA,208,57,218
raw carrot,green,#93CFAB,147,207,171
dense cardboard,green,#A3BA06,163,186,6
raw silhouette,red,#AC9729,172,151,41
shiny corn,blue,#84B9C9,132,185,201
warm deer,red,#F1C369,241,195,105
deep lettuce,blue,#6CA9B8,108,169,184
foggy cloud,blue,#4405AE,68,5,174
dense cauliflower,green,#B4F74B,180,247,75
rich shadow,red,#D89D2C,216,157,44
ripe violin,red,#FF19B3,255,25,179
smooth slate,green,#999F5E,153,159,94
shaded coffee,blue,#99E8FF,153,232,255
glowing crow,red,#A71C64,167,28,100
shaded gorilla,blue,#0537D6,5,55,214
ripe tin,blue,#5EA1B6,94,161,182
frosted shadow,red,#C9C89D,201,200,157
pale vinyl,blue,#0C3FEE,12,63,238
faded mud,blue,#B9B2CB,185,178,203
deep pig,blue,#9504A0,149,4,160
earthy deer,green,#4BBC46,75,188,70
soft silhouette,green,#1BE582,27,229,130
bright sky,green,#707F70,112,127,112
dark tin,red,#886D42,136,109,66
cool ash,green,#8FE562,143,229,98
muted strawberry,red,#551B2F,85,27,47
foggy froth,red,#AF257C,175,37,124
ripe wood,blue,#97BEBF,151,190,191
matte salad,red,#C06F30,192,111,48
smooth broccoli,red,#E91BD1,233,27,209
dark blood,blue,#260C69,38,12,105
misty cloud,green,#3DF8D4,61,248,212
pale cello,green,#06F7EE,6,247,238
earthy mustard,red,#EC8B96,236,139,150
deep slate,blue,#7258B5,114,88,181
pale crow,blue,#1749CA,23,73,202
foggy cherry,blue,#C2A2FD,194,162,253
matte cherry,green,#44D955,68,217,85
cool mud,green,#145F46,20,95,70
matte beaver,green,#A1CF34,161,207,52
foggy gorilla,green,#98BF5E,152,191,94
pale carrot,green,#13925F,19,146,95
cool grass,green,#4FA715,79,167,21
frosted blood,red,#77715A,119,113,90
shiny swan,green,#32DF65,50,223,101
raw chalk,blue,#7C15F9,124,21,249
muted blood,green,#B8D70D,184,215,13
dense soil,blue,#5CABB2,92,171,178
shaded banana,blue,#308ED8,48,142,216
frosted forest,red,#C28F96,194,143,150
misty coal,red,#942B28,148,43,40
earthy silhouette,red,#C3619D,195,97,157
dusty violin,green,#22AE68,34,174,104
foggy sea,blue,#3AB7D3,58,183,211
faded soil,blue,#46174B,70,23,75
shaded coal,blue,#5C0E5F,92,14,95
fresh mud,green,#5A9536,90,149,54
warm snow,red,#B99467,185,148,103
warm grass,blue,#688090,104,128,144
matte broccoli,red,#B5B324,181,179,36
soft cotton,blue,#5B49DC,91,73,220
matte cockroach,green,#E8ED3D,232,237,61
vivid spinach,blue,#0C90D0,12,144,208
bold wood,red,#EC135A,236,19,90
frosted crow,blue,#8B5CD4,139,92,212
cool violin,blue,#407AFF,64,122,255
dusty cloud,blue,#D517F1,213,23,241
bold cockroach,red,#FE27B0,254,39,176
warm froth,green,#9BDD30,155,221,48
shiny grass,blue,#4BE5F9,75,229,249
fresh vinyl,blue,#447FEC,68,127,236
faded coal,blue,#1AA4A7,26,164,167
soft sky,red,#F9F097,249,240,151
bright gold,red,#E2369F,226,54,159
vivid beaver,green,#58AC6C,88,172,108
faded fog,blue,#B64FC6,182,79,198
misty parsley,red,#918259,145,130,89
misty sea,green,#E7F910,231,249,16
bold cherry,green,#5ABD0C,90,189,12
bright salad,green,#666E65,102,110,101
earthy vinyl,red,#F50A25,245,10,37
dense cherry,red,#F0D728,240,215,40
misty sky,green,#D3DE43,211,222,67
matte soil,green,#586122,88,97,34
earthy cello,green,#F6F8B2,246,248,178
cool wood,blue,#360676,54,6,118
earthy swan,green,#9AB192,154,177,146
shiny dolphin,blue,#7A00F3,122,0,243
dense strawberry,green,#2BDD15,43,221,21
earthy salad,red,#E70B67,231,11,103
faded cardboard,green,#71ECBD,113,236,189
pale banana,red,#E1DA45,225,218,69
deep cherry,blue,#0217BC,2,23,188
muted soil,green,#40B119,64,177,25
shaded soil,red,#AA622F,170,98,47
earthy forest,blue,#6E3896,110,56,150
raw sea,blue,#802A8B,128,42,139
glowing lettuce,blue,#375699,55,86,153
soft banana,blue,#5E21CE,94,33,206
raw fog,red,#B7AD57,183,173,87
cool forest,red,#B2326E,178,50,110
dense strawberry,red,#755260,117,82,96
frosted chalk,green,#71DA7B,113,218,123
soft cloud,red,#FEB932,254,185,50
warm shadow,green,#34B144,52,177,68
glowing mustard,green,#09ED72,9,237,114
raw chalk,red,#B78C01,183,140,1
soft cherry,blue,#60BCC8,96,188,200
faded soil,blue,#9492CD,148,146,205
fresh froth,red,#D1968B,209,150,139
warm sea,blue,#3F25DA,63,37,218
pale sky,green,#08D6A7,8,214,167
cool forest,red,#A90378,169,3,120
shaded carrot,red,#FE7EEA,254,126,234
shaded cardboard,green,#8AFCEE,138,252,238
ripe beaver,blue,#110175,17,1,117
shiny slate,blue,#0AB4DC,10,180,220
dense coal,blue,#3E3ED4,62,62,212
shiny corn,red,#FEEBB7,254,235,183
cool ash,green,#B7EB48,183,235,72
raw elephant,blue,#9461E7,148,97,231
warm coffee,blue,#1D96BD,29,150,189
ripe fog,red,#F7563C,247,86,60
misty carrot,green,#35C007,53,192,7
soft ash,red,#F108CD,241,8,205
fresh cauliflower,green,#BBE187,187,225,135
shaded dolphin,blue,#4409FC,68,9,252
rich corn,blue,#C305F3,195,5,243
dense silhouette,green,#90EAE6,144,234,230
foggy tin,blue,#5025E3,80,37,227
soft cauliflower,red,#BDB633,189,182,51
warm cherry,green,#9FFBDE,159,251,222
warm slate,red,#9A3773,154,55,115
vivid slate,green,#B0B473,176,180,115
misty carrot,green,#2E897E,46,137,126
deep coal,green,#67E644,103,230,68
rich flour,blue,#7DE1EB,125,225,235
warm swan,green,#18762A,24,118,42
dark chalk,red,#F0C27E,240,194,126
shiny deer,blue,#3114CA,49,20,202
bright cauliflower,red,#992E23,153,46,35
misty flour,green,#AADB03,170,219,3
pale fog,green,#359C41,53,156,65
soft spinach,green,#67CBB3,103,203,179
muted soil,red,#F3D22E,243,210,46
ripe swan,blue,#DB09E1,219,9,225
earthy coffee,green,#B4B615,180,182,21
earthy cotton,green,#1C855A,28,133,90
faded mustard,red,#C3313E,195,49,62
vivid slate,blue,#30A4B1,48,164,177
shiny corn,blue,#F8D0FA,248,208,250
dark mud,green,#34E8D9,52,232,217
matte snow,red,#CB0BC5,203,11,197
rich vinyl,blue,#7410B7,116,16,183
raw violin,blue,#340470,52,4,112
faded dolphin,blue,#4E20A7,78,32,167
faded weed,blue,#AD76D5,173,118,213
bright foam,red,#FFA786,255,167,134
dark clover,red,#FE58C6,254,88,198
deep banana,red,#E3DACB,227,218,203
vivid blood,green,#849E27,132,158,39
pale chalk,blue,#4C7F9B,76,127,155
frosted violin,green,#245606,36,86,6
rich clover,red,#733200,115,50,0
deep cardboard,green,#74954D,116,149,77
soft strawberry,green,#BAEE64,186,238,100
pale cauliflower,red,#FAAA14,250,170,20
dark chalk,red,#E0975B,224,151,91
matte beaver,red,#DFDD3A,223,221,58
ripe gorilla,red,#F68716,246,135,22
shiny cello,green,#A2EFC9,162,239,201
fresh crow,blue,#9A42CD,154,66,205
foggy pig,blue,#8678A4,134,120,164
dusty elephant,blue,#D48EF0,212,142,240
dusty fog,blue,#0B84F7,11,132,247
shiny mud,green,#2C490B,44,73,11
raw dolphin,blue,#6BCEE0,107,206,224
cool carrot,blue,#BAC3CC,186,195,204
dark fog,green,#80F2DD,128,242,221
pale flour,red,#76022C,118,2,44
rich spinach,blue,#B663F3,182,99,243
faded gold,blue,#180C3C,24,12,60
foggy cloud,blue,#BDB8E8,189,184,232
bold froth,blue,#858ABB,133,138,187
dense weed,red,#FD82AE,253,130,174
shiny beaver,red,#D82A20,216,42,32
dark strawberry,green,#BAE46E,186,228,110
deep strawberry,red,#804B0F,128,75,15
ripe flour,green,#2FBB1C,47,187,28
smooth banana,red,#783626,120,54,38
bright cauliflower,blue,#CCACE7,204,172,231
ripe fog,blue,#EB54EF,235,84,239
fresh corn,red,#EF647C,239,100,124
ripe salad,red,#B359B3,179,89,179
soft ash,green,#A1F817,161,248,23
warm cockroach,green,#A2E551,162,229,81
cool swan,red,#F78F0D,247,143,13
shaded wood,green,#71F859,113,248,89
shaded froth,red,#CCB712,204,183,18
muted cello,blue,#492364,73,35,100
smooth mustard,blue,#6F1873,111,24,115
muted violin,blue,#067F99,6,127,153
matte elephant,red,#920413,146,4,19
warm lettuce,red,#4B0A32,75,10,50
dusty ash,red,#AF5660,175,86,96
foggy corn,blue,#35158A,53,21,138
dense spinach,red,#D90DB9,217,13,185
shiny crow,red,#B773AF,183,115,175
pale fog,red,#E031D5,224,49,213
foggy salad,green,#24ACA4,36,172,164
bold corn,green,#4BCCC0,75,204,192
raw salad,green,#52FEEA,82,254,234
smooth crow,red,#97120C,151,18,12
ripe cauliflower,red,#D544BC,213,68,188
glowing carrot,green,#43B05B,67,176,91
raw coal,green,#20D67C,32,214,124
dusty broccoli,green,#5ACC46,90,204,70
earthy corn,green,#5DEF2F,93,239,47
misty cello,green,#C0CD33,192,205,51
dense flour,blue,#2645CD,38,69,205
deep mud,green,#668D2C,102,141,44
shaded froth,green,#09C795,9,199,149
vivid fog,blue,#B233B4,178,51,180
cool clover,blue,#981C9C,152,28,156
dense shadow,green,#88AE70,136,174,112
muted grass,blue,#3499A4,52,153,164
smooth fog,green,#8ABB1B,138,187,27
misty cardboard,green,#A3C182,163,193,130
foggy cotton,red,#A31E77,163,30,119
misty crow,red,#B82155,184,33,85
vivid silhouette,red,#B1565D,177,86,93
rich spinach,red,#FC0D9F,252,13,159
shaded cello,blue,#2767C4,39,103,196
faded silhouette,green,#E9EBDD,233,235,221
rich chalk,green,#4C5F4A,76,95,74
raw snow,red,#E4BAE2,228,186,226
smooth garlic,green,#93F86A,147,248,106
ripe parsley,green,#68E12A,104,225,42
glowing sky,blue,#2095CA,32,149,202
shiny fog,green,#93C66E,147,198,110
cool fog,blue,#40188C,64,24,140
shaded chalk,red,#C58EBB,197,142,187
matte coffee,green,#B8FE60,184,254,96
frosted deer,blue,#28A0EA,40,160,234
pale coffee,blue,#CB22EB,203,34,235
frosted corn,blue,#C5E8F8,197,232,248
ripe corn,blue,#0ABECA,10,190,202
rich mustard,blue,#C2CAF5,194,202,245
soft mustard,red,#722326,114,35,38
rich cardboard,green,#CEEA6E,206,234,110
soft mustard,green,#838887,131,136,135
matte cello,blue,#288691,40,134,145
bright salad,red,#30222D,48,34,45
shaded elephant,green,#189F36,24,159,54
earthy deer,green,#84E372,132,227,114
soft gold,red,#755220,117,82,32
dark soil,red,#DD5413,221,84,19
vivid foam,blue,#CEAEE4,206,174,228
vivid strawberry,blue,#8955FE,137,85,254
shaded corn,red,#5C2135,92,33,53
pale gold,red,#B74B38,183,75,56
soft cauliflower,green,#9FDA8D,159,218,141
shiny pig,red,#CBB95C,203,185,92
dark cotton,blue,#957BFF,149,123,255
smooth slate,green,#A9AB27,169,171,39
raw beaver,red,#F80A60,248,10,96
earthy shadow,red,#C47671,196,118,113
bold grass,red,#8D4332,141,67,50
soft clover,green,#DCDF1F,220,223,31
smooth ash,blue,#C2EAFA,194,234,250
muted banana,green,#38761F,56,118,31
soft salad,blue,#5B80E2,91,128,226
shaded slate,green,#81D80B,129,216,11
dark blood,blue,#542978,84,41,120
dense spinach,red,#D15E10,209,94,16
cool lettuce,red,#928C89,146,140,137
rich coal,red,#A62F03,166,47,3
muted lettuce,red,#E9AD5E,233,173,94
raw wood,red,#4B0A0B,75,10,11
rich crow,blue,#6446A2,100,70,162
ripe cockroach,blue,#13316B,19,49,107
shiny mud,blue,#D763E6,215,99,230
frosted mud,blue,#1397D6,19,151,214
matte tin,blue,#AE87B0,174,135,176
dusty cloud,green,#59915F,89,145,95
glowing silhouette,green,#C6EA7A,198,234,122
warm weed,red,#9D2E2B,157,46,43
bold corn,green,#5BD8B3,91,216,179
earthy crow,blue,#62E9F9,98,233,249
raw wood,blue,#3F06B6,63,6,182
warm broccoli,green,#1F740F,31,116,15
glowing beaver,red,#AE5676,174,86,118
earthy banana,blue,#860AF4,134,10,244
glowing corn,green,#B7F2A2,183,242,162
frosted crow,blue,#30C9FE,48,201,254
soft sea,red,#C6536A,198,83,106
deep salad,blue,#4EC2DF,78,194,223
soft coffee,blue,#1D0DB7,29,13,183
ripe swan,blue,#19CBFB,25,203,251
faded mustard,blue,#9AA8C8,154,168,200
rich pig,blue,#4834A3,72,52,163
shaded banana,green,#3C7452,60,116,82
fresh cardboard,blue,#0C73FD,12,115,253
dense silhouette,blue,#226DD4,34,109,212
muted broccoli,green,#ADEA28,173,234,40
shaded swan,green,#48D159,72,209,89
frosted cello,green,#46EC13,70,236,19
glowing pig,red,#7E5745,126,87,69
dense violin,blue,#1F35E4,31,53,228
shaded cauliflower,blue,#3C2FBF,60,47,191
ripe shadow,red,#DC71A6,220,113,166
pale lettuce,green,#58D075,88,208,117
pale strawberry,green,#CAF7F4,202,247,244
matte corn,blue,#30839B,48,131,155
rich slate,green,#42A9A6,66,169,166
misty deer,red,#D84D8F,216,77,143
bold weed,blue,#784BF2,120,75,242
warm forest,blue,#C578D1,197,120,209
shiny sea,green,#C7EE84,199,238,132
glowing crow,blue,#C7A4F3,199,164,243
ripe cotton,green,#71E483,113,228,131
shiny slate,red,#F1A5BD,241,165,189
matte cello,red,#F86686,248,102,134
matte shadow,blue,#2E045A,46,4,90
ripe gold,red,#E31858,227,24,88
ripe slate,red,#7D1063,125,16,99
misty tin,red,#F3BC90,243,188,144
bright elephant,green,#101E02,16,30,2
dusty grass,green,#C7C82D,199,200,45
shiny dolphin,blue,#520EC9,82,14,201
shiny salad,green,#19A06F,25,160,111
faded corn,blue,#A5D1E2,165,209,226
fresh slate,blue,#038BD6,3,139,214
muted swan,red,#FE431A,254,67,26
glowing cardboard,green,#78E690,120,230,144
rich gold,red,#CC1AB2,204,26,178
earthy violin,red,#D12D41,209,45,65
shiny salad,red,#CF5045,207,80,69
muted gold,red,#D01C78,208,28,120
faded mud,red,#D7916B,215,145,107
warm elephant,blue,#8D96E1,141,150,225
fresh weed,blue,#5E177F,94,23,127
shiny gorilla,red,#9D1C94,157,28,148
dark sea,green,#C5C83B,197,200,59
cool mud,red,#A5157F,165,21,127
warm weed,red,#8F6E13,143,110,19
frosted snow,blue,#687286,104,114,134
fresh slate,red,#B71FAB,183,31,171
raw soil,blue,#022F93,2,47,147
fresh cauliflower,green,#008222,0,130,34
bold swan,blue,#7F2DCC,127,45,204
muted gold,green,#EAEDAA,234,237,170
dusty sea,blue,#5E0F74,94,15,116
fresh soil,green,#5CEE61,92,238,97
faded broccoli,green,#63F0BC,99,240,188
dark strawberry,red,#AF999C,175,153,156
ripe cardboard,blue,#CFBCDB,207,188,219
shiny lettuce,blue,#E946F9,233,70,249
dense slate,red,#F508C3,245,8,195
dusty weed,blue,#C94FFD,201,79,253
frosted weed,red,#969266,150,146,102
bold corn,red,#FE8AB6,254,138,182
dusty beaver,blue,#2A323C,42,50,60
raw lettuce,red,#EB0307,235,3,7
misty gold,red,#A60A51,166,10,81
glowing clover,blue,#BA38D9,186,56,217
shiny grass,blue,#2878A1,40,120,161
soft froth,blue,#8A81AB,138,129,171
bright swan,green,#358100,53,129,0
foggy flour,red,#7F4C3D,127,76,61
matte elephant,green,#B1BDB4,177,189,180
soft broccoli,red,#E19C03,225,156,3
deep violin,green,#4C8D86,76,141,134
earthy soil,green,#3A4E1F,58,78,31
raw violin,red,#B276A2,178,118,162
cool snow,green,#83DBC2,131,219,194
misty shadow,blue,#C457DD,196,87,221
raw violin,blue,#828DBB,130,141,187
ripe lettuce,green,#747D2D,116,125,45
dense weed,blue,#63A0A2,99,160,162
shaded cherry,blue,#09477E,9,71,126
bold elephant,blue,#D7A3EE,215,163,238
smooth mustard,green,#A4B20D,164,178,13
faded elephant,green,#12E8C7,18,232,199
fresh parsley,red,#E02F4F,224,47,79
dense crow,red,#EF9F05,239,159,5
faded gorilla,blue,#AD36D1,173,54,209
vivid gold,green,#149379,20,147,121
warm pig,red,#837318,131,115,24
